Selection Method, Number of Destinations, Number of Parcels,Distance, Energy
3, 30, 30, 1875.71, 9719.75
1, 10, 200, 3708.1, 22849.7
2, 10, 200, 3956.69, 18534.9
0, 10, 200, 6842.44, 39418.6
0, 20, 200, 6826.28, 41362
1, 20, 200, 9142.02, 62147.1
2, 20, 200, 4334.27, 32583.6
1, 30, 200, 11293.7, 57057.3
0, 30, 200, 8185.27, 49530.6
2, 30, 200, 5125.98, 22549.1
1, 40, 200, 12910.8, 78503.7
0, 40, 200, 8144.41, 24202.7
2, 40, 200, 5173.23, 23988.9
0, 50, 200, 8350.59, 25310.7
2, 50, 200, 5938.33, 36455.9
1, 50, 200, 16370.4, 88696.2
0, 60, 200, 8823.71, 26300.3
2, 60, 200, 5954.59, 27655.5
1, 60, 200, 17122.4, 96944.5
1, 70, 200, 22122.9, 126396
2, 70, 200, 6895.28, 32677
0, 70, 200, 9423.06, 48185.1
1, 80, 200, 20033.8, 103445
0, 80, 200, 8614.83, 29335.3
2, 80, 200, 6844.56, 30118.4
1, 90, 200, 24698.7, 115022
2, 90, 200, 6752.21, 29931.4
0, 90, 200, 9701.14, 28862.2
2, 100, 200, 7226.17, 31897.5
0, 100, 200, 8770.04, 45306.1
1, 100, 200, 24950.9, 126504
